Company	Product	Implemented	Accelerator
Novel Notions	ServiceNow	True	TuneUp Your ServiceNow
Novel Notions	Smartsheet	False	Jumpstart Your Smartsheet
Novel Notions	Tableau	True	TuneUp Your Tableau
Novel Notions	Tibco Spotfire	True	TuneUp Your Tibco Spotfire
Novel Notions	Wrike	False	Jumpstart Your Wrike
Fit For Life	ActiveCampaign	False	Jumpstart Your ActiveCampaign
Fit For Life	Alteryx	True	TuneUp Your Alteryx
Fit For Life	Constant Contact	False	Jumpstart Your Constant Contact
Fit For Life	Freshdesk	True	TuneUp Your Freshdesk
Fit For Life	Freshsales	False	Jumpstart Your Freshsales
Fit For Life	Google Data Studio	True	TuneUp Your Google Data Studio
Fit For Life	HappyFox	False	Jumpstart Your HappyFox
Fit For Life	Jira	False	Jumpstart Your Jira
Fit For Life	Jira Service Management	True	TuneUp Your Jira Service Management
Fit For Life	Mailchimp	False	Jumpstart Your Mailchimp
Fit For Life	QlikView	True	TuneUp Your QlikView
Fit For Life	Salesforce Service Cloud	True	TuneUp Your Salesforce Service Cloud
Fit For Life	Sendinblue	False	Jumpstart Your Sendinblue
Fit For Life	Tableau	True	TuneUp Your Tableau
Fit For Life	Tibco Spotfire	True	TuneUp Your Tibco Spotfire
GigaGadgets	ActiveCampaign	False	Jumpstart Your ActiveCampaign
GigaGadgets	ActiveCampaign	False	Jumpstart Your ActiveCampaign
GigaGadgets	Alteryx	True	TuneUp Your Alteryx
GigaGadgets	Alteryx	True	TuneUp Your Alteryx
GigaGadgets	Alteryx	True	TuneUp Your Alteryx
GigaGadgets	Alteryx	True	TuneUp Your Alteryx
GigaGadgets	Constant Contact	False	Jumpstart Your Constant Contact
GigaGadgets	Constant Contact	False	Jumpstart Your Constant Contact
GigaGadgets	Freshsales	False	Jumpstart Your Freshsales
GigaGadgets	Freshsales	False	Jumpstart Your Freshsales
GigaGadgets	Google Data Studio	True	TuneUp Your Google Data Studio
GigaGadgets	Google Data Studio	True	TuneUp Your Google Data Studio
GigaGadgets	Google Data Studio	True	TuneUp Your Google Data Studio
GigaGadgets	Google Data Studio	True	TuneUp Your Google Data Studio
GigaGadgets	Jira	False	Jumpstart Your Jira
GigaGadgets	Jira	False	Jumpstart Your Jira
GigaGadgets	Jira Service Management	True	TuneUp Your Jira Service Management
GigaGadgets	Jira Service Management	True	TuneUp Your Jira Service Management
GigaGadgets	Jira Service Management	True	TuneUp Your Jira Service Management
GigaGadgets	Jira Service Management	True	TuneUp Your Jira Service Management
GigaGadgets	Mailchimp	False	Jumpstart Your Mailchimp
GigaGadgets	Mailchimp	False	Jumpstart Your Mailchimp
GigaGadgets	Power BI	True	TuneUp Your Power BI
GigaGadgets	Power BI	True	TuneUp Your Power BI
GigaGadgets	Power BI	True	TuneUp Your Power BI
GigaGadgets	Power BI	True	TuneUp Your Power BI
GigaGadgets	Salesforce Service Cloud	True	TuneUp Your Salesforce Service Cloud
GigaGadgets	Salesforce Service Cloud	True	TuneUp Your Salesforce Service Cloud
GigaGadgets	Salesforce Service Cloud	True	TuneUp Your Salesforce Service Cloud
GigaGadgets	Salesforce Service Cloud	True	TuneUp Your Salesforce Service Cloud
GigaGadgets	Sendinblue	False	Jumpstart Your Sendinblue
GigaGadgets	Sendinblue	False	Jumpstart Your Sendinblue
GigaGadgets	ServiceNow	True	TuneUp Your ServiceNow
GigaGadgets	ServiceNow	True	TuneUp Your ServiceNow
GigaGadgets	ServiceNow	True	TuneUp Your ServiceNow
GigaGadgets	ServiceNow	True	TuneUp Your ServiceNow
GigaGadgets	Tableau	True	TuneUp Your Tableau
GigaGadgets	Tableau	True	TuneUp Your Tableau
GigaGadgets	Tableau	True	TuneUp Your Tableau
GigaGadgets	Tableau	True	TuneUp Your Tableau
GigaGadgets	Tibco Spotfire	True	TuneUp Your Tibco Spotfire
GigaGadgets	Tibco Spotfire	True	TuneUp Your Tibco Spotfire
GigaGadgets	Tibco Spotfire	True	TuneUp Your Tibco Spotfire
GigaGadgets	Tibco Spotfire	True	TuneUp Your Tibco Spotfire
Joyful Journeys	ActiveCampaign	False	Jumpstart Your ActiveCampaign
Joyful Journeys	Alteryx	True	TuneUp Your Alteryx
Joyful Journeys	Basecamp	False	Jumpstart Your Basecamp
Joyful Journeys	Constant Contact	False	Jumpstart Your Constant Contact
Joyful Journeys	Freshdesk	True	TuneUp Your Freshdesk
Joyful Journeys	Freshsales	False	Jumpstart Your Freshsales
Joyful Journeys	Google Data Studio	True	TuneUp Your Google Data Studio
Joyful Journeys	HappyFox	False	Jumpstart Your HappyFox
Joyful Journeys	Jira Service Management	True	TuneUp Your Jira Service Management
Joyful Journeys	Mailchimp	False	Jumpstart Your Mailchimp
Joyful Journeys	Monday.com	False	Jumpstart Your Monday.com
Joyful Journeys	QlikView	True	TuneUp Your QlikView
Joyful Journeys	Salesforce Service Cloud	True	TuneUp Your Salesforce Service Cloud
Joyful Journeys	Sendinblue	False	Jumpstart Your Sendinblue
Joyful Journeys	Tableau	True	TuneUp Your Tableau
Joyful Journeys	Tibco Spotfire	True	TuneUp Your Tibco Spotfire
EpsilonEducation	ActiveCampaign	False	Jumpstart Your ActiveCampaign
EpsilonEducation	Alteryx	True	TuneUp Your Alteryx
EpsilonEducation	Basecamp	False	Jumpstart Your Basecamp
EpsilonEducation	Constant Contact	False	Jumpstart Your Constant Contact
EpsilonEducation	Freshsales	False	Jumpstart Your Freshsales
EpsilonEducation	GetResponse	False	Jumpstart Your GetResponse
EpsilonEducation	Google Data Studio	True	TuneUp Your Google Data Studio
EpsilonEducation	Jira	False	Jumpstart Your Jira
EpsilonEducation	Jira Service Management	True	TuneUp Your Jira Service Management
EpsilonEducation	Mailchimp	False	Jumpstart Your Mailchimp
EpsilonEducation	Microsoft Dynamics 365	False	Jumpstart Your Microsoft Dynamics 365
EpsilonEducation	Monday.com	False	Jumpstart Your Monday.com
EpsilonEducation	Pipedrive	False	Jumpstart Your Pipedrive
EpsilonEducation	Power BI	True	TuneUp Your Power BI
EpsilonEducation	QlikView	True	TuneUp Your QlikView
EpsilonEducation	Salesforce Service Cloud	True	TuneUp Your Salesforce Service Cloud
EpsilonEducation	Sendinblue	False	Jumpstart Your Sendinblue
EpsilonEducation	ServiceNow	True	TuneUp Your ServiceNow
EpsilonEducation	Smartsheet	False	Jumpstart Your Smartsheet
EpsilonEducation	Tableau	True	TuneUp Your Tableau
EpsilonEducation	Tibco Spotfire	True	TuneUp Your Tibco Spotfire
EpsilonEducation	Wrike	False	Jumpstart Your Wrike
EpsilonEducation	Zoho CRM	False	Jumpstart Your Zoho CRM
TrendyTees	ActiveCampaign	False	Jumpstart Your ActiveCampaign
TrendyTees	Alteryx	True	TuneUp Your Alteryx
TrendyTees	Basecamp	False	Jumpstart Your Basecamp
TrendyTees	Constant Contact	False	Jumpstart Your Constant Contact
TrendyTees	Freshsales	False	Jumpstart Your Freshsales
TrendyTees	Google Data Studio	True	TuneUp Your Google Data Studio
TrendyTees	Jira Service Management	True	TuneUp Your Jira Service Management
TrendyTees	Monday.com	False	Jumpstart Your Monday.com
TrendyTees	Power BI	True	TuneUp Your Power BI
TrendyTees	Salesforce Service Cloud	True	TuneUp Your Salesforce Service Cloud
TrendyTees	Sendinblue	False	Jumpstart Your Sendinblue
TrendyTees	Tableau	True	TuneUp Your Tableau
TrendyTees	Tibco Spotfire	True	TuneUp Your Tibco Spotfire
Harmonious Homes	ActiveCampaign	False	Jumpstart Your ActiveCampaign
Harmonious Homes	Alteryx	True	TuneUp Your Alteryx
Harmonious Homes	Basecamp	False	Jumpstart Your Basecamp
Harmonious Homes	Constant Contact	False	Jumpstart Your Constant Contact
Harmonious Homes	Freshdesk	False	Jumpstart Your Freshdesk
Harmonious Homes	Freshsales	False	Jumpstart Your Freshsales
Harmonious Homes	Google Data Studio	True	TuneUp Your Google Data Studio
Harmonious Homes	Jira Service Management	True	TuneUp Your Jira Service Management
Harmonious Homes	Monday.com	False	Jumpstart Your Monday.com
Harmonious Homes	QlikView	True	TuneUp Your QlikView
Harmonious Homes	Salesforce Service Cloud	True	TuneUp Your Salesforce Service Cloud
Harmonious Homes	Sendinblue	False	Jumpstart Your Sendinblue
Harmonious Homes	Tableau	True	TuneUp Your Tableau
Harmonious Homes	Tibco Spotfire	True	TuneUp Your Tibco Spotfire
EpsilonEco	ActiveCampaign	False	Jumpstart Your ActiveCampaign
EpsilonEco	Alteryx	True	TuneUp Your Alteryx
EpsilonEco	Constant Contact	False	Jumpstart Your Constant Contact
EpsilonEco	Freshsales	False	Jumpstart Your Freshsales
EpsilonEco	Google Data Studio	True	TuneUp Your Google Data Studio
EpsilonEco	Jira	False	Jumpstart Your Jira
EpsilonEco	Jira Service Management	True	TuneUp Your Jira Service Management
EpsilonEco	Looker	True	TuneUp Your Looker
EpsilonEco	Mailchimp	False	Jumpstart Your Mailchimp
EpsilonEco	Power BI	True	TuneUp Your Power BI
EpsilonEco	QlikView	True	TuneUp Your QlikView
EpsilonEco	Salesforce Service Cloud	True	TuneUp Your Salesforce Service Cloud
EpsilonEco	SAP Analytics Cloud	True	TuneUp Your SAP Analytics Cloud
EpsilonEco	Sendinblue	False	Jumpstart Your Sendinblue
EpsilonEco	ServiceNow	True	TuneUp Your ServiceNow
EpsilonEco	Sisense	True	TuneUp Your Sisense
EpsilonEco	Tableau	True	TuneUp Your Tableau
EpsilonEco	Tibco Spotfire	True	TuneUp Your Tibco Spotfire
EcoEase Solutions	ActiveCampaign	False	Jumpstart Your ActiveCampaign
EcoEase Solutions	Alteryx	True	TuneUp Your Alteryx
EcoEase Solutions	Constant Contact	False	Jumpstart Your Constant Contact
EcoEase Solutions	Freshsales	False	Jumpstart Your Freshsales
EcoEase Solutions	Google Data Studio	True	TuneUp Your Google Data Studio
EcoEase Solutions	Jira Service Management	True	TuneUp Your Jira Service Management
EcoEase Solutions	Looker	True	TuneUp Your Looker
EcoEase Solutions	Monday.com	False	Jumpstart Your Monday.com
EcoEase Solutions	Power BI	True	TuneUp Your Power BI
EcoEase Solutions	QlikView	True	TuneUp Your QlikView
EcoEase Solutions	Salesforce Service Cloud	True	TuneUp Your Salesforce Service Cloud
EcoEase Solutions	SAP Analytics Cloud	True	TuneUp Your SAP Analytics Cloud
EcoEase Solutions	Sendinblue	False	Jumpstart Your Sendinblue
EcoEase Solutions	ServiceNow	True	TuneUp Your ServiceNow
EcoEase Solutions	Sisense	True	TuneUp Your Sisense
EcoEase Solutions	Tableau	True	TuneUp Your Tableau
EcoEase Solutions	Tibco Spotfire	True	TuneUp Your Tibco Spotfire
Pet Palace	ActiveCampaign	False	Jumpstart Your ActiveCampaign
Pet Palace	Alteryx	True	TuneUp Your Alteryx
Pet Palace	Basecamp	False	Jumpstart Your Basecamp
Pet Palace	Constant Contact	False	Jumpstart Your Constant Contact
Pet Palace	Freshdesk	True	TuneUp Your Freshdesk
Pet Palace	Freshsales	False	Jumpstart Your Freshsales
Pet Palace	Google Data Studio	True	TuneUp Your Google Data Studio
Pet Palace	HappyFox	True	TuneUp Your HappyFox
Pet Palace	Jira Service Management	True	TuneUp Your Jira Service Management
Pet Palace	Mailchimp	False	Jumpstart Your Mailchimp
Pet Palace	Monday.com	False	Jumpstart Your Monday.com
Pet Palace	QlikView	True	TuneUp Your QlikView
Pet Palace	Salesforce Service Cloud	True	TuneUp Your Salesforce Service Cloud
Pet Palace	Sendinblue	False	Jumpstart Your Sendinblue
Pet Palace	Tableau	True	TuneUp Your Tableau
Pet Palace	Tibco Spotfire	True	TuneUp Your Tibco Spotfire
MegaMovies	ActiveCampaign	False	Jumpstart Your ActiveCampaign
MegaMovies	Alteryx	True	TuneUp Your Alteryx
MegaMovies	Constant Contact	False	Jumpstart Your Constant Contact
MegaMovies	Freshsales	False	Jumpstart Your Freshsales
MegaMovies	Google Data Studio	True	TuneUp Your Google Data Studio
MegaMovies	Jira	False	Jumpstart Your Jira
MegaMovies	Jira Service Management	True	TuneUp Your Jira Service Management
MegaMovies	Microsoft Dynamics 365	False	Jumpstart Your Microsoft Dynamics 365
MegaMovies	Monday.com	False	Jumpstart Your Monday.com
MegaMovies	Power BI	True	TuneUp Your Power BI
MegaMovies	Salesforce Service Cloud	True	TuneUp Your Salesforce Service Cloud
MegaMovies	Sendinblue	False	Jumpstart Your Sendinblue
MegaMovies	ServiceNow	True	TuneUp Your ServiceNow
MegaMovies	Smartsheet	False	Jumpstart Your Smartsheet
MegaMovies	Tableau	True	TuneUp Your Tableau
MegaMovies	Tibco Spotfire	True	TuneUp Your Tibco Spotfire
MegaMovies	Wrike	False	Jumpstart Your Wrike
MindMeld	ActiveCampaign	False	Jumpstart Your ActiveCampaign
MindMeld	Alteryx	True	TuneUp Your Alteryx
MindMeld	Basecamp	False	Jumpstart Your Basecamp
MindMeld	Constant Contact	False	Jumpstart Your Constant Contact
MindMeld	Freshsales	False	Jumpstart Your Freshsales
MindMeld	GetResponse	False	Jumpstart Your GetResponse
MindMeld	Google Data Studio	True	TuneUp Your Google Data Studio
MindMeld	Jira	False	Jumpstart Your Jira
MindMeld	Jira Service Management	True	TuneUp Your Jira Service Management
MindMeld	Mailchimp	False	Jumpstart Your Mailchimp
MindMeld	Microsoft Dynamics 365	False	Jumpstart Your Microsoft Dynamics 365
MindMeld	Monday.com	False	Jumpstart Your Monday.com
MindMeld	Pipedrive	False	Jumpstart Your Pipedrive
MindMeld	Power BI	True	TuneUp Your Power BI
MindMeld	QlikView	True	TuneUp Your QlikView
MindMeld	Salesforce Service Cloud	True	TuneUp Your Salesforce Service Cloud
MindMeld	Sendinblue	False	Jumpstart Your Sendinblue
MindMeld	ServiceNow	True	TuneUp Your ServiceNow
MindMeld	Smartsheet	False	Jumpstart Your Smartsheet
MindMeld	Tableau	True	TuneUp Your Tableau
MindMeld	Tibco Spotfire	True	TuneUp Your Tibco Spotfire
MindMeld	Wrike	False	Jumpstart Your Wrike
MindMeld	Zoho CRM	False	Jumpstart Your Zoho CRM
Restful Retreats	ActiveCampaign	False	Jumpstart Your ActiveCampaign
Restful Retreats	Alteryx	True	TuneUp Your Alteryx
Restful Retreats	Basecamp	False	Jumpstart Your Basecamp
Restful Retreats	Constant Contact	False	Jumpstart Your Constant Contact
Restful Retreats	Freshdesk	True	TuneUp Your Freshdesk
Restful Retreats	Freshsales	False	Jumpstart Your Freshsales
Restful Retreats	Google Data Studio	True	TuneUp Your Google Data Studio
Restful Retreats	HappyFox	True	TuneUp Your HappyFox
Restful Retreats	Insightly	False	Jumpstart Your Insightly
Restful Retreats	Jira Service Management	True	TuneUp Your Jira Service Management
Restful Retreats	Monday.com	False	Jumpstart Your Monday.com
Restful Retreats	QlikView	True	TuneUp Your QlikView
Restful Retreats	Salesforce Service Cloud	True	TuneUp Your Salesforce Service Cloud
Restful Retreats	Sendinblue	False	Jumpstart Your Sendinblue
Restful Retreats	Tableau	True	TuneUp Your Tableau
Restful Retreats	Tibco Spotfire	True	TuneUp Your Tibco Spotfire
NuNutrition	ActiveCampaign	False	Jumpstart Your ActiveCampaign
NuNutrition	Alteryx	True	TuneUp Your Alteryx
NuNutrition	Constant Contact	False	Jumpstart Your Constant Contact
NuNutrition	Freshsales	False	Jumpstart Your Freshsales
NuNutrition	Google Data Studio	True	TuneUp Your Google Data Studio
NuNutrition	Jira	False	Jumpstart Your Jira
NuNutrition	Jira Service Management	True	TuneUp Your Jira Service Management
NuNutrition	Mailchimp	False	Jumpstart Your Mailchimp
NuNutrition	Power BI	True	TuneUp Your Power BI
NuNutrition	Salesforce Service Cloud	True	TuneUp Your Salesforce Service Cloud
NuNutrition	Sendinblue	False	Jumpstart Your Sendinblue
NuNutrition	Tableau	True	TuneUp Your Tableau
NuNutrition	Tibco Spotfire	True	TuneUp Your Tibco Spotfire
RadiantReads	ActiveCampaign	False	Jumpstart Your ActiveCampaign
RadiantReads	Alteryx	True	TuneUp Your Alteryx
RadiantReads	Basecamp	False	Jumpstart Your Basecamp
RadiantReads	Constant Contact	False	Jumpstart Your Constant Contact
RadiantReads	Domo	True	TuneUp Your Domo
RadiantReads	Freshdesk	True	TuneUp Your Freshdesk
RadiantReads	Freshsales	False	Jumpstart Your Freshsales
RadiantReads	Freshservice	True	TuneUp Your Freshservice
RadiantReads	Google Data Studio	True	TuneUp Your Google Data Studio
RadiantReads	HappyFox	True	TuneUp Your HappyFox
RadiantReads	HubSpot Service Hub	True	TuneUp Your HubSpot Service Hub
RadiantReads	Intercom	True	TuneUp Your Intercom
RadiantReads	Jira Service Management	True	TuneUp Your Jira Service Management
RadiantReads	Looker	True	TuneUp Your Looker
RadiantReads	Mailchimp	False	Jumpstart Your Mailchimp
RadiantReads	Monday.com	False	Jumpstart Your Monday.com
RadiantReads	Power BI	True	TuneUp Your Power BI
RadiantReads	QlikView	True	TuneUp Your QlikView
RadiantReads	Salesforce Service Cloud	True	TuneUp Your Salesforce Service Cloud
RadiantReads	SAP Analytics Cloud	True	TuneUp Your SAP Analytics Cloud
RadiantReads	Sendinblue	False	Jumpstart Your Sendinblue
RadiantReads	ServiceNow	True	TuneUp Your ServiceNow
RadiantReads	Sisense	True	TuneUp Your Sisense
RadiantReads	Tableau	True	TuneUp Your Tableau
RadiantReads	Tibco Spotfire	True	TuneUp Your Tibco Spotfire
RadiantReads	Zendesk	True	TuneUp Your Zendesk
AlphaAccessories	ActiveCampaign	False	Jumpstart Your ActiveCampaign
AlphaAccessories	Alteryx	True	TuneUp Your Alteryx
AlphaAccessories	Constant Contact	False	Jumpstart Your Constant Contact
AlphaAccessories	Domo	True	TuneUp Your Domo
AlphaAccessories	Freshdesk	True	TuneUp Your Freshdesk
AlphaAccessories	Freshsales	False	Jumpstart Your Freshsales
AlphaAccessories	Freshservice	True	TuneUp Your Freshservice
AlphaAccessories	Google Data Studio	True	TuneUp Your Google Data Studio
AlphaAccessories	HappyFox	True	TuneUp Your HappyFox
AlphaAccessories	HubSpot Service Hub	True	TuneUp Your HubSpot Service Hub
AlphaAccessories	Intercom	True	TuneUp Your Intercom
AlphaAccessories	Jira	False	Jumpstart Your Jira
AlphaAccessories	Jira Service Management	True	TuneUp Your Jira Service Management
AlphaAccessories	Looker	True	TuneUp Your Looker
AlphaAccessories	Mailchimp	False	Jumpstart Your Mailchimp
AlphaAccessories	Power BI	True	TuneUp Your Power BI
AlphaAccessories	QlikView	True	TuneUp Your QlikView
AlphaAccessories	Salesforce Service Cloud	True	TuneUp Your Salesforce Service Cloud
AlphaAccessories	SAP Analytics Cloud	True	TuneUp Your SAP Analytics Cloud
AlphaAccessories	Sendinblue	False	Jumpstart Your Sendinblue
AlphaAccessories	ServiceNow	True	TuneUp Your ServiceNow
AlphaAccessories	Sisense	True	TuneUp Your Sisense
AlphaAccessories	Tableau	True	TuneUp Your Tableau
AlphaAccessories	Tibco Spotfire	True	TuneUp Your Tibco Spotfire
AlphaAccessories	Zendesk	True	TuneUp Your Zendesk
FitFam Fitness	ActiveCampaign	False	Jumpstart Your ActiveCampaign
FitFam Fitness	Alteryx	True	TuneUp Your Alteryx
FitFam Fitness	Constant Contact	False	Jumpstart Your Constant Contact
FitFam Fitness	Freshsales	False	Jumpstart Your Freshsales
FitFam Fitness	Google Data Studio	True	TuneUp Your Google Data Studio
FitFam Fitness	Jira	False	Jumpstart Your Jira
FitFam Fitness	Jira Service Management	True	TuneUp Your Jira Service Management
FitFam Fitness	Mailchimp	False	Jumpstart Your Mailchimp
FitFam Fitness	Power BI	True	TuneUp Your Power BI
FitFam Fitness	Salesforce Service Cloud	True	TuneUp Your Salesforce Service Cloud
FitFam Fitness	Sendinblue	False	Jumpstart Your Sendinblue
FitFam Fitness	Tableau	True	TuneUp Your Tableau
FitFam Fitness	Tibco Spotfire	True	TuneUp Your Tibco Spotfire
Radiant Robotics	ActiveCampaign	False	Jumpstart Your ActiveCampaign
Radiant Robotics	Alteryx	True	TuneUp Your Alteryx
Radiant Robotics	Freshsales	False	Jumpstart Your Freshsales
Radiant Robotics	GetResponse	False	Jumpstart Your GetResponse
Radiant Robotics	Google Data Studio	True	TuneUp Your Google Data Studio
Radiant Robotics	Jira	False	Jumpstart Your Jira
Radiant Robotics	Jira Service Management	True	TuneUp Your Jira Service Management
Radiant Robotics	Power BI	True	TuneUp Your Power BI
Radiant Robotics	QlikView	True	TuneUp Your QlikView
Radiant Robotics	Salesforce Service Cloud	True	TuneUp Your Salesforce Service Cloud
Radiant Robotics	Sendinblue	False	Jumpstart Your Sendinblue
Radiant Robotics	ServiceNow	True	TuneUp Your ServiceNow
Radiant Robotics	Tableau	True	TuneUp Your Tableau
Radiant Robotics	Tibco Spotfire	True	TuneUp Your Tibco Spotfire
Savvy Savers	ActiveCampaign	False	Jumpstart Your ActiveCampaign
Savvy Savers	Alteryx	True	TuneUp Your Alteryx
Savvy Savers	Constant Contact	False	Jumpstart Your Constant Contact
Savvy Savers	Freshdesk	False	Jumpstart Your Freshdesk
Savvy Savers	Freshsales	False	Jumpstart Your Freshsales
Savvy Savers	Google Data Studio	True	TuneUp Your Google Data Studio
Savvy Savers	Jira Service Management	True	TuneUp Your Jira Service Management
Savvy Savers	Monday.com	False	Jumpstart Your Monday.com
Savvy Savers	QlikView	True	TuneUp Your QlikView
Savvy Savers	Salesforce Service Cloud	True	TuneUp Your Salesforce Service Cloud
Savvy Savers	Sendinblue	False	Jumpstart Your Sendinblue
Savvy Savers	Tableau	True	TuneUp Your Tableau
Savvy Savers	Tibco Spotfire	True	TuneUp Your Tibco Spotfire
PhiFitness	ActiveCampaign	False	Jumpstart Your ActiveCampaign
PhiFitness	Alteryx	True	TuneUp Your Alteryx
PhiFitness	Constant Contact	False	Jumpstart Your Constant Contact
PhiFitness	Freshsales	False	Jumpstart Your Freshsales
PhiFitness	Google Data Studio	True	TuneUp Your Google Data Studio
PhiFitness	Jira	False	Jumpstart Your Jira
PhiFitness	Jira Service Management	True	TuneUp Your Jira Service Management
PhiFitness	Mailchimp	False	Jumpstart Your Mailchimp
PhiFitness	Power BI	True	TuneUp Your Power BI
PhiFitness	Salesforce Service Cloud	True	TuneUp Your Salesforce Service Cloud
PhiFitness	Sendinblue	False	Jumpstart Your Sendinblue
PhiFitness	Tableau	True	TuneUp Your Tableau
PhiFitness	Tibco Spotfire	True	TuneUp Your Tibco Spotfire
BravoBites	ActiveCampaign	False	Jumpstart Your ActiveCampaign
BravoBites	Alteryx	True	TuneUp Your Alteryx
BravoBites	Constant Contact	False	Jumpstart Your Constant Contact
BravoBites	Freshsales	False	Jumpstart Your Freshsales
BravoBites	Google Data Studio	True	TuneUp Your Google Data Studio
BravoBites	Jira	False	Jumpstart Your Jira
BravoBites	Jira Service Management	True	TuneUp Your Jira Service Management
BravoBites	Mailchimp	False	Jumpstart Your Mailchimp
BravoBites	Power BI	True	TuneUp Your Power BI
BravoBites	Salesforce Service Cloud	True	TuneUp Your Salesforce Service Cloud
BravoBites	Sendinblue	False	Jumpstart Your Sendinblue
BravoBites	ServiceNow	True	TuneUp Your ServiceNow
BravoBites	Tableau	True	TuneUp Your Tableau
BravoBites	Tibco Spotfire	True	TuneUp Your Tibco Spotfire
IotaIceCream	ActiveCampaign	False	Jumpstart Your ActiveCampaign
IotaIceCream	Alteryx	True	TuneUp Your Alteryx
IotaIceCream	Constant Contact	False	Jumpstart Your Constant Contact
IotaIceCream	Freshsales	False	Jumpstart Your Freshsales
IotaIceCream	Google Data Studio	True	TuneUp Your Google Data Studio
IotaIceCream	Jira	False	Jumpstart Your Jira
IotaIceCream	Jira Service Management	True	TuneUp Your Jira Service Management
IotaIceCream	Mailchimp	False	Jumpstart Your Mailchimp
IotaIceCream	Microsoft Dynamics 365	False	Jumpstart Your Microsoft Dynamics 365
IotaIceCream	Salesforce Service Cloud	True	TuneUp Your Salesforce Service Cloud
IotaIceCream	ServiceNow	True	TuneUp Your ServiceNow
IotaIceCream	Tableau	True	TuneUp Your Tableau
IotaIceCream	Tibco Spotfire	True	TuneUp Your Tibco Spotfire
NovelNotions	ActiveCampaign	False	Jumpstart Your ActiveCampaign
NovelNotions	Alteryx	True	TuneUp Your Alteryx
NovelNotions	Constant Contact	False	Jumpstart Your Constant Contact
