Company	Implemented	Product
UltimateUtensils	TRUE	Alteryx
Inspiring Instruments	TRUE	Alteryx
ZetaZumba	TRUE	Alteryx
MindMeld Therapy	TRUE	Alteryx
AlphaAccessories	TRUE	Alteryx
FitFam Fitness	TRUE	Alteryx
Luxurious Luggage	TRUE	Alteryx
IotaImprov	TRUE	Alteryx
VirtuosoViolins	TRUE	Alteryx
LuxeLashes	TRUE	Alteryx
Elegant Events	TRUE	Alteryx
OmegaOutdoors	TRUE	Alteryx
EchoEducation	TRUE	Alteryx
Marvelous Maps	TRUE	Alteryx
OmegaOuterwear	TRUE	Alteryx
BloomBox Flowers	TRUE	Alteryx
NatureNook	TRUE	Alteryx
Luxury Living	TRUE	Alteryx
EtaEntertainment	TRUE	Alteryx
LuxeLuggage	TRUE	Alteryx
Precise Prints	TRUE	Alteryx
BetaBaking	TRUE	Alteryx
QuirkyQuills Writing	TRUE	Alteryx
VitalVibes	TRUE	Alteryx
Sustainable Solutions	TRUE	Alteryx
XiXylophones	TRUE	Alteryx
SapphireStationery	TRUE	Alteryx
IotaIceCream	TRUE	Alteryx
NovelNotions	TRUE	Alteryx
Vibrant Visions	TRUE	Alteryx
RhoRings	TRUE	Alteryx
FoxtrotFitness	TRUE	Alteryx
Zen Zumba	TRUE	Alteryx
MuMystery	TRUE	Alteryx
YogaYurt	TRUE	Alteryx
OptimumOptics	TRUE	Alteryx
Chic Chocolates	TRUE	Alteryx
ThetaTech	TRUE	Alteryx
MuseMusic	TRUE	Alteryx
GigaGadgets	TRUE	Alteryx
Gourmet Grub	TRUE	Alteryx
PicoPets	TRUE	Alteryx
VibrantVinyls	TRUE	Alteryx
Joyful Jewels	TRUE	Alteryx
KappaKids	TRUE	Alteryx
OptimisticOutdoors	TRUE	Alteryx
Sensational Spices	TRUE	Alteryx
Bright Beginnings	TRUE	Alteryx
ChiChocolates	TRUE	Alteryx
CharlieChargers	TRUE	Alteryx
RhoRamen	TRUE	Alteryx
XtremeXercise	TRUE	Alteryx
RhoRamen	FALSE	Basecamp
MindMeld	FALSE	Basecamp
FoxtrotFitness	FALSE	Basecamp
Vibrant Visions	FALSE	Basecamp
StyleSavvy	FALSE	Basecamp
Fashion Forward	FALSE	Basecamp
Harmonious Homes	FALSE	Basecamp
PhiPhotography	FALSE	Basecamp
Restful Retreats	FALSE	Basecamp
EpsilonEducation	FALSE	Basecamp
IotaImprov	FALSE	Basecamp
DeltaDesigns	FALSE	Basecamp
Zen Zoology	FALSE	Basecamp
RhoRings	FALSE	Basecamp
RadiantReads	FALSE	Basecamp
Joyful Journeys	FALSE	Basecamp
AlphaArt	FALSE	Basecamp
Zen Zumba	FALSE	Basecamp
Pet Palace	FALSE	Basecamp
TrendyTees	FALSE	Basecamp
Natural Necessities	FALSE	Basecamp
RhoRamen	FALSE	Constant Contact
XtremeXercise	FALSE	Constant Contact
Vibrant Visions	FALSE	Constant Contact
IotaImprov	FALSE	Constant Contact
VirtuosoViolins	FALSE	Constant Contact
LuxeLashes	FALSE	Constant Contact
FitFusion	FALSE	Constant Contact
Fashion Forward	FALSE	Constant Contact
RhoRings	FALSE	Constant Contact
FoxtrotFitness	FALSE	Constant Contact
Zen Zumba	FALSE	Constant Contact
Vibrant Vases	FALSE	Constant Contact
NuNotebooks	FALSE	Constant Contact
AlphaArt	FALSE	Constant Contact
PremiumPens	FALSE	Constant Contact
Dynamic Drones	FALSE	Constant Contact
Zen Zoology	FALSE	Constant Contact
PhiPhotography	FALSE	Constant Contact
ZenZenith	FALSE	Constant Contact
StyleSavvy	FALSE	Constant Contact
Natural Necessities	FALSE	Constant Contact
DeltaDesigns	FALSE	Constant Contact
Joyful Journeys	FALSE	Constant Contact
EpsilonEducation	FALSE	Constant Contact
JunoJewelry	FALSE	Constant Contact
Novel Notions	FALSE	Constant Contact
Fit For Life	FALSE	Constant Contact
GigaGadgets	FALSE	Constant Contact
Pet Palace	FALSE	Constant Contact
MegaMovies	FALSE	Constant Contact
TrendyTees	FALSE	Constant Contact
Harmonious Homes	FALSE	Constant Contact
EpsilonEco	FALSE	Constant Contact
EcoEase Solutions	FALSE	Constant Contact
AlphaAccessories	FALSE	Constant Contact
FitFam Fitness	FALSE	Constant Contact
MindMeld	FALSE	Constant Contact
Restful Retreats	FALSE	Constant Contact
NuNutrition	FALSE	Constant Contact
RadiantReads	FALSE	Constant Contact
IotaIceCream	FALSE	Constant Contact
NovelNotions	FALSE	Constant Contact
Luxurious Luggage	FALSE	Constant Contact
Savvy Savers	FALSE	Constant Contact
PhiFitness	FALSE	Constant Contact
BravoBites	FALSE	Constant Contact
InspireInnovations	TRUE	Domo
BitzBooks	TRUE	Domo
Ultimate University	TRUE	Domo
Healthy Habits	TRUE	Domo
RadiantReads	TRUE	Domo
TrendyTech	TRUE	Domo
AlphaAccessories	TRUE	Domo
DeltaDecor	TRUE	Domo
Ultimate Universes	TRUE	Domo
BitzBooks	TRUE	Domo
ThetaTech	TRUE	Domo
WholesomeWatches	TRUE	Domo
UltimateUniversity	TRUE	Domo
Global Goods	TRUE	Domo
Glamorous Gaming	TRUE	Domo
Tech Titans	TRUE	Domo
Vibrant Visions	FALSE	Freshdesk
Ultimate University	TRUE	Freshdesk
Glamorous Gaming	TRUE	Freshdesk
ThetaTech	TRUE	Freshdesk
ZenZone	FALSE	Freshdesk
BetaBaking	TRUE	Freshdesk
Sustainable Solutions	FALSE	Freshdesk
PhiPhotography	TRUE	Freshdesk
Elegant Events	FALSE	Freshdesk
Quality Quilts	TRUE	Freshdesk
QuillQuotes	TRUE	Freshdesk
Bountiful Books	TRUE	Freshdesk
KappaKids	TRUE	Freshdesk
Bright Beginnings	TRUE	Freshdesk
Vibrant Vases	TRUE	Freshdesk
RadiantReads	TRUE	Freshdesk
Mindful Meditation	TRUE	Freshdesk
KidKonnect	FALSE	Freshdesk
Virtuoso Virtual Assistants	TRUE	Freshdesk
BitzBooks	TRUE	Freshdesk
KaleidoscopeKids	TRUE	Freshdesk
Zen Zoology	TRUE	Freshdesk
Fit For Life	TRUE	Freshdesk
ThetaTheater	TRUE	Freshdesk
Youthful Yarns	TRUE	Freshdesk
TrendyTech	TRUE	Freshdesk
HotelHaven	TRUE	Freshdesk
Sensational Spices	TRUE	Freshdesk
Joyful Journeys	TRUE	Freshdesk
VirtuosoViolins	TRUE	Freshdesk
OmegaOutdoors	TRUE	Freshdesk
Chic Chocolates	TRUE	Freshdesk
DeltaDecor	TRUE	Freshdesk
GreenGlow	TRUE	Freshdesk
Wise Words	TRUE	Freshdesk
SapphireStationery	FALSE	Freshdesk
Pet Palace	TRUE	Freshdesk
Harmonious Homes	FALSE	Freshdesk
YogaYurt	TRUE	Freshdesk
Motivational Mentors	TRUE	Freshdesk
Ultimate Universes	TRUE	Freshdesk
Healthy Habits	TRUE	Freshdesk
Global Goods	TRUE	Freshdesk
BitzBooks	TRUE	Freshdesk
AlphaAccessories	TRUE	Freshdesk
Restful Retreats	TRUE	Freshdesk
PetPalace	TRUE	Freshdesk
Smart Homes	FALSE	Freshdesk
Youthful Yogis	TRUE	Freshdesk
PicoPets	TRUE	Freshdesk
QuirkyQuills Writing	TRUE	Freshdesk
Artistic Expressions	FALSE	Freshdesk
Savvy Savers	FALSE	Freshdesk
Quality Quilting	TRUE	Freshdesk
UltimateUniversity	TRUE	Freshdesk
Eco-Friendly Cleaning Solutions	TRUE	Freshdesk
PioneerPhones	TRUE	Freshdesk
Knowledge Navigators	TRUE	Freshdesk
WholesomeWatches	TRUE	Freshdesk
FitFusion	FALSE	Freshsales
Fashion Forward	FALSE	Freshsales
RhoRings	FALSE	Freshsales
FoxtrotFitness	FALSE	Freshsales
LuxeLashes	FALSE	Freshsales
Vibrant Vases	FALSE	Freshsales
NuNotebooks	FALSE	Freshsales
AlphaArt	FALSE	Freshsales
PremiumPens	FALSE	Freshsales
Zen Zumba	FALSE	Freshsales
Zen Zoology	FALSE	Freshsales
PhiPhotography	FALSE	Freshsales
ZenZenith	FALSE	Freshsales
StyleSavvy	FALSE	Freshsales
Dynamic Drones	FALSE	Freshsales
Joyful Journeys	FALSE	Freshsales
EpsilonEducation	FALSE	Freshsales
JunoJewelry	FALSE	Freshsales
Novel Notions	FALSE	Freshsales
Fit For Life	FALSE	Freshsales
DeltaDesigns	FALSE	Freshsales
Pet Palace	FALSE	Freshsales
MegaMovies	FALSE	Freshsales
TrendyTees	FALSE	Freshsales
Harmonious Homes	FALSE	Freshsales
EpsilonEco	FALSE	Freshsales
GigaGadgets	FALSE	Freshsales
AlphaAccessories	FALSE	Freshsales
FitFam Fitness	FALSE	Freshsales
MindMeld	FALSE	Freshsales
Restful Retreats	FALSE	Freshsales
NuNutrition	FALSE	Freshsales
EcoEase Solutions	FALSE	Freshsales
IotaIceCream	FALSE	Freshsales
NovelNotions	FALSE	Freshsales
Radiant Robotics	FALSE	Freshsales
Savvy Savers	FALSE	Freshsales
PhiFitness	FALSE	Freshsales
RadiantReads	FALSE	Freshsales
RhoRamen	FALSE	Freshsales
XtremeXercise	FALSE	Freshsales
Luxurious Luggage	FALSE	Freshsales
IotaImprov	FALSE	Freshsales
VirtuosoViolins	FALSE	Freshsales
BravoBites	FALSE	Freshsales
Glamorous Gaming	TRUE	Freshservice
Global Goods	TRUE	Freshservice
Ultimate University	TRUE	Freshservice
BitzBooks	TRUE	Freshservice
RadiantReads	TRUE	Freshservice
Healthy Habits	TRUE	Freshservice
AlphaAccessories	TRUE	Freshservice
TrendyTech	TRUE	Freshservice
DeltaDecor	TRUE	Freshservice
Ultimate Universes	TRUE	Freshservice
BitzBooks	TRUE	Freshservice
ThetaTech	TRUE	Freshservice
WholesomeWatches	TRUE	Freshservice
UltimateUniversity	TRUE	Freshservice
Sensational Spices	TRUE	Freshservice
MindMeld	FALSE	GetResponse
Radiant Robotics	FALSE	GetResponse
EpsilonEducation	FALSE	GetResponse
HotelHaven	TRUE	Google Data Studio
Ace Athletics	TRUE	Google Data Studio
ChiCheese	TRUE	Google Data Studio
ZipZap Deliveries	TRUE	Google Data Studio
TechTonic	TRUE	Google Data Studio
Optimal Outcomes	TRUE	Google Data Studio
Joyful Journeys	TRUE	Google Data Studio
EpsilonEducation	TRUE	Google Data Studio
TrendyTees	TRUE	Google Data Studio
Harmonious Homes	TRUE	Google Data Studio
EpsilonEco	TRUE	Google Data Studio
EcoEase Solutions	TRUE	Google Data Studio
Quality Quilting	TRUE	Google Data Studio
Mindful Meditation	TRUE	Google Data Studio
MuMusic	TRUE	Google Data Studio
AlphaApparel	TRUE	Google Data Studio
Youthful Yogis	TRUE	Google Data Studio
EtaEscapeRooms	TRUE	Google Data Studio
Virtuoso Virtual Assistants	TRUE	Google Data Studio
HomeHaven	TRUE	Google Data Studio
Healthy Habits	TRUE	Google Data Studio
TauTies	TRUE	Google Data Studio
RadiantReady	TRUE	Google Data Studio
Knowledge Navigators	TRUE	Google Data Studio
ZetaZen	TRUE	Google Data Studio
KaleidoscopeKids	TRUE	Google Data Studio
Optimal Organics	TRUE	Google Data Studio
Artistic Expressions	TRUE	Google Data Studio
Pet Palace	TRUE	Google Data Studio
MegaMovies	TRUE	Google Data Studio
MindMeld	TRUE	Google Data Studio
Restful Retreats	TRUE	Google Data Studio
NuNutrition	TRUE	Google Data Studio
RadiantReads	TRUE	Google Data Studio
Knowledgeable Knits	TRUE	Google Data Studio
ThetaTheater	TRUE	Google Data Studio
UpsilonUnderwear	TRUE	Google Data Studio
KidKonnect	TRUE	Google Data Studio
Innovative Ideas	TRUE	Google Data Studio
OmicronOrganics	TRUE	Google Data Studio
TrendyTech	TRUE	Google Data Studio
Xceptional Xeroxing	TRUE	Google Data Studio
Brilliant Blooms	TRUE	Google Data Studio
GammaGames	TRUE	Google Data Studio
GreenGlow	TRUE	Google Data Studio
Tech Titans	TRUE	Google Data Studio
NanoNails	TRUE	Google Data Studio
UltimateUtensils	TRUE	Google Data Studio
Inspiring Instruments	TRUE	Google Data Studio
ZetaZumba	TRUE	Google Data Studio
MindMeld Therapy	TRUE	Google Data Studio
AlphaAccessories	TRUE	Google Data Studio
FitFam Fitness	TRUE	Google Data Studio
Radiant Robotics	TRUE	Google Data Studio
Savvy Savers	TRUE	Google Data Studio
PhiFitness	TRUE	Google Data Studio
BravoBites	TRUE	Google Data Studio
Ultimate University	TRUE	Google Data Studio
PiPizza	TRUE	Google Data Studio
UltimateUniversity	TRUE	Google Data Studio
Youthful Yarns	TRUE	Google Data Studio
Eco-Friendly Cleaning Solutions	TRUE	Google Data Studio
PsiSocks	TRUE	Google Data Studio
DeltaDecor	TRUE	Google Data Studio
Bountiful Books	TRUE	Google Data Studio
PsiPlants	TRUE	Google Data Studio
GigaBytes Tech	TRUE	Google Data Studio
Precise Prints	TRUE	Google Data Studio
BetaBaking	TRUE	Google Data Studio
QuirkyQuills Writing	TRUE	Google Data Studio
VitalVibes	TRUE	Google Data Studio
Sustainable Solutions	TRUE	Google Data Studio
XiXylophones	TRUE	Google Data Studio
SapphireStationery	TRUE	Google Data Studio
IotaIceCream	TRUE	Google Data Studio
NovelNotions	TRUE	Google Data Studio
Luxurious Luggage	TRUE	Google Data Studio
IotaImprov	TRUE	Google Data Studio
VirtuosoViolins	TRUE	Google Data Studio
LuxeLashes	TRUE	Google Data Studio
Elegant Events	TRUE	Google Data Studio
OmegaOutdoors	TRUE	Google Data Studio
EchoEducation	TRUE	Google Data Studio
Marvelous Maps	TRUE	Google Data Studio
OmegaOuterwear	TRUE	Google Data Studio
BloomBox Flowers	TRUE	Google Data Studio
NatureNook	TRUE	Google Data Studio
Luxury Living	TRUE	Google Data Studio
EtaEntertainment	TRUE	Google Data Studio
LuxeLuggage	TRUE	Google Data Studio
Joyful Jewels	TRUE	Google Data Studio
KappaKids	TRUE	Google Data Studio
OptimisticOutdoors	TRUE	Google Data Studio
Sensational Spices	TRUE	Google Data Studio
Bright Beginnings	TRUE	Google Data Studio
ChiChocolates	TRUE	Google Data Studio
CharlieChargers	TRUE	Google Data Studio
RhoRamen	TRUE	Google Data Studio
XtremeXercise	TRUE	Google Data Studio
Vibrant Visions	TRUE	Google Data Studio
RhoRings	TRUE	Google Data Studio
FoxtrotFitness	TRUE	Google Data Studio
Zen Zumba	TRUE	Google Data Studio
MuMystery	TRUE	Google Data Studio
YogaYurt	TRUE	Google Data Studio
OptimumOptics	TRUE	Google Data Studio
Chic Chocolates	TRUE	Google Data Studio
ThetaTech	TRUE	Google Data Studio
MuseMusic	TRUE	Google Data Studio
GigaGadgets	TRUE	Google Data Studio
Gourmet Grub	TRUE	Google Data Studio
PicoPets	TRUE	Google Data Studio
VibrantVinyls	TRUE	Google Data Studio
Talented Tailors	TRUE	Google Data Studio
SigmaShoes	TRUE	Google Data Studio
YogaYonder	TRUE	Google Data Studio
Wise Words	TRUE	Google Data Studio
KappaKnitting	TRUE	Google Data Studio
WholesomeWatches	TRUE	Google Data Studio
MysticMoods	TRUE	Google Data Studio
FitFusion	TRUE	Google Data Studio
Fashion Forward	TRUE	Google Data Studio
AlphaArt	TRUE	Google Data Studio
PremiumPens	TRUE	Google Data Studio
Dynamic Drones	TRUE	Google Data Studio
UpsilonUndergarments	TRUE	Google Data Studio
InspireInnovations	TRUE	Google Data Studio
FarmFresh	TRUE	Google Data Studio
Motivational Mentors	TRUE	Google Data Studio
QuantaCoffee	TRUE	Google Data Studio
WholesomeWhisk	TRUE	Google Data Studio
Fantastic Furnishings	TRUE	Google Data Studio
GammaGardening	TRUE	Google Data Studio
SkyHigh Adventures	TRUE	Google Data Studio
SmartSips	TRUE	Google Data Studio
Creative Coding	TRUE	Google Data Studio
BitzBooks	TRUE	Google Data Studio
GlowGuru	TRUE	Google Data Studio
Global Goods	TRUE	Google Data Studio
SigmaSweets	TRUE	Google Data Studio
GolfGenius	TRUE	Google Data Studio
BitzBooks	TRUE	Google Data Studio
Vibrant Vases	TRUE	Google Data Studio
NuNotebooks	TRUE	Google Data Studio
ZenZenith	TRUE	Google Data Studio
StyleSavvy	TRUE	Google Data Studio
Natural Necessities	TRUE	Google Data Studio
DeltaDesigns	TRUE	Google Data Studio
SavvySocks	TRUE	Google Data Studio
Glamorous Gaming	TRUE	Google Data Studio
Smart Homes	TRUE	Google Data Studio
Artisan Oven	TRUE	Google Data Studio
ArtisanArmor	TRUE	Google Data Studio
Premier Printing	TRUE	Google Data Studio
LambdaLiterature	TRUE	Google Data Studio
PioneerPhones	TRUE	Google Data Studio
Trendy Totes	TRUE	Google Data Studio
XpressoXpress	TRUE	Google Data Studio
Wise Watches	TRUE	Google Data Studio
XiXylophoneOrchestra	TRUE	Google Data Studio
BetaBeauty	TRUE	Google Data Studio
QuirkyQuilts	TRUE	Google Data Studio
Esteemed Education	TRUE	Google Data Studio
Zen Zoology	TRUE	Google Data Studio
PhiPhotography	TRUE	Google Data Studio
JunoJewelry	TRUE	Google Data Studio
Novel Notions	TRUE	Google Data Studio
Fit For Life	TRUE	Google Data Studio
GigaGadgets	TRUE	Google Data Studio
PetPalace	TRUE	Google Data Studio
Quality Quilts	TRUE	Google Data Studio
DeltaDrinks	TRUE	Google Data Studio
QuillQuotes	TRUE	Google Data Studio
Ultimate Universes	TRUE	Google Data Studio
Green Thumb Gardening	TRUE	Google Data Studio
TauTea	TRUE	Google Data Studio
ZenZone	TRUE	Google Data Studio
Xcellent Xeriscaping	TRUE	Google Data Studio
LambdaLanguages	TRUE	Google Data Studio
Fit For Life	FALSE	HappyFox
Mindful Meditation	FALSE	HappyFox
ThetaTech	FALSE	HappyFox
PioneerPhones	TRUE	HappyFox
Knowledge Navigators	FALSE	HappyFox
Restful Retreats	TRUE	HappyFox
ThetaTheater	TRUE	HappyFox
QuillQuotes	TRUE	HappyFox
Bountiful Books	TRUE	HappyFox
BetaBaking	FALSE	HappyFox
BitzBooks	TRUE	HappyFox
PhiPhotography	FALSE	HappyFox
OmegaOutdoors	TRUE	HappyFox
Youthful Yarns	TRUE	HappyFox
Virtuoso Virtual Assistants	TRUE	HappyFox
KappaKids	FALSE	HappyFox
WholesomeWatches	FALSE	HappyFox
Vibrant Vases	TRUE	HappyFox
YogaYurt	FALSE	HappyFox
Chic Chocolates	TRUE	HappyFox
TrendyTech	FALSE	HappyFox
BitzBooks	TRUE	HappyFox
Bright Beginnings	TRUE	HappyFox
Zen Zoology	TRUE	HappyFox
PetPalace	TRUE	HappyFox
Motivational Mentors	TRUE	HappyFox
DeltaDecor	FALSE	HappyFox
HotelHaven	FALSE	HappyFox
Sensational Spices	TRUE	HappyFox
Joyful Journeys	FALSE	HappyFox
Quality Quilting	TRUE	HappyFox
UltimateUniversity	FALSE	HappyFox
Ultimate Universes	TRUE	HappyFox
GreenGlow	FALSE	HappyFox
Wise Words	TRUE	HappyFox
Pet Palace	TRUE	HappyFox
Ultimate University	TRUE	HappyFox
Glamorous Gaming	TRUE	HappyFox
Youthful Yogis	FALSE	HappyFox
Healthy Habits	TRUE	HappyFox
Global Goods	TRUE	HappyFox
AlphaAccessories	TRUE	HappyFox
RadiantReads	TRUE	HappyFox
Quality Quilts	FALSE	HappyFox
Eco-Friendly Cleaning Solutions	FALSE	HappyFox
PicoPets	TRUE	HappyFox
QuirkyQuills Writing	TRUE	HappyFox
Glamorous Gaming	TRUE	HubSpot Service Hub
Tech Titans	TRUE	HubSpot Service Hub
InspireInnovations	TRUE	HubSpot Service Hub
BitzBooks	TRUE	HubSpot Service Hub
Ultimate University	TRUE	HubSpot Service Hub
Healthy Habits	TRUE	HubSpot Service Hub
RadiantReads	TRUE	HubSpot Service Hub
TrendyTech	TRUE	HubSpot Service Hub
AlphaAccessories	TRUE	HubSpot Service Hub
DeltaDecor	TRUE	HubSpot Service Hub
BitzBooks	TRUE	HubSpot Service Hub
Ultimate Universes	TRUE	HubSpot Service Hub
WholesomeWatches	TRUE	HubSpot Service Hub
ThetaTech	TRUE	HubSpot Service Hub
Sensational Spices	TRUE	HubSpot Service Hub
UltimateUniversity	TRUE	HubSpot Service Hub
Global Goods	TRUE	HubSpot Service Hub
Restful Retreats	FALSE	Insightly
InspireInnovations	TRUE	Intercom
Healthy Habits	TRUE	Intercom
PetPalace	TRUE	Intercom
PioneerPhones	TRUE	Intercom
Ultimate University	TRUE	Intercom
TrendyTech	TRUE	Intercom
BitzBooks	TRUE	Intercom
RadiantReads	TRUE	Intercom
DeltaDecor	TRUE	Intercom
WholesomeWatches	TRUE	Intercom
AlphaAccessories	TRUE	Intercom
Ultimate Universes	TRUE	Intercom
Sensational Spices	TRUE	Intercom
ThetaTech	TRUE	Intercom
Global Goods	TRUE	Intercom
UltimateUniversity	TRUE	Intercom
Tech Titans	TRUE	Intercom
Glamorous Gaming	TRUE	Intercom
BitzBooks	TRUE	Intercom
FitFusion	FALSE	Jira
Luxurious Luggage	FALSE	Jira
NuNutrition	FALSE	Jira
